# seed=(1, 2) mean=(250, 20) standard_deviation=(50, 15) number_of_processes=500
------------------------------------------------------------
Average waiting time : 63193.934
Average turn around time : 63446.122
------------------------------------------------------------
Process 0 | Waiting Time 0 | Burst Time 255 | Arrival Time 0 | Turn Around Time 255
Process 1 | Waiting Time 255 | Burst Time 220 | Arrival Time 0 | Turn Around Time 475
Process 2 | Waiting Time 475 | Burst Time 372 | Arrival Time 0 | Turn Around Time 847
Process 3 | Waiting Time 847 | Burst Time 225 | Arrival Time 0 | Turn Around Time 1072
Process 4 | Waiting Time 1072 | Burst Time 227 | Arrival Time 0 | Turn Around Time 1299
Process 5 | Waiting Time 1299 | Burst Time 280 | Arrival Time 0 | Turn Around Time 1579
Process 6 | Waiting Time 1579 | Burst Time 323 | Arrival Time 0 | Turn Around Time 1902
Process 7 | Waiting Time 1902 | Burst Time 302 | Arrival Time 0 | Turn Around Time 2204
Process 8 | Waiting Time 2203 | Burst Time 211 | Arrival Time 1 | Turn Around Time 2414
Process 9 | Waiting Time 2414 | Burst Time 236 | Arrival Time 1 | Turn Around Time 2650
Process 10 | Waiting Time 2650 | Burst Time 325 | Arrival Time 1 | Turn Around Time 2975
Process 11 | Waiting Time 2975 | Burst Time 240 | Arrival Time 1 | Turn Around Time 3215
Process 12 | Waiting Time 3215 | Burst Time 224 | Arrival Time 1 | Turn Around Time 3439
Process 13 | Waiting Time 3439 | Burst Time 235 | Arrival Time 1 | Turn Around Time 3674
Process 14 | Waiting Time 3674 | Burst Time 278 | Arrival Time 1 | Turn Around Time 3952
Process 15 | Waiting Time 3952 | Burst Time 282 | Arrival Time 1 | Turn Around Time 4234
Process 16 | Waiting Time 4234 | Burst Time 213 | Arrival Time 1 | Turn Around Time 4447
Process 17 | Waiting Time 4447 | Burst Time 206 | Arrival Time 1 | Turn Around Time 4653
Process 18 | Waiting Time 4653 | Burst Time 257 | Arrival Time 1 | Turn Around Time 4910
Process 19 | Waiting Time 4910 | Burst Time 296 | Arrival Time 1 | Turn Around Time 5206
Process 20 | Waiting Time 5206 | Burst Time 199 | Arrival Time 1 | Turn Around Time 5405
Process 21 | Waiting Time 5404 | Burst Time 203 | Arrival Time 2 | Turn Around Time 5607
Process 22 | Waiting Time 5607 | Burst Time 270 | Arrival Time 2 | Turn Around Time 5877
Process 23 | Waiting Time 5877 | Burst Time 276 | Arrival Time 2 | Turn Around Time 6153
Process 24 | Waiting Time 6153 | Burst Time 345 | Arrival Time 2 | Turn Around Time 6498
Process 25 | Waiting Time 6498 | Burst Time 229 | Arrival Time 2 | Turn Around Time 6727
Process 26 | Waiting Time 6727 | Burst Time 228 | Arrival Time 2 | Turn Around Time 6955
Process 27 | Waiting Time 6955 | Burst Time 194 | Arrival Time 2 | Turn Around Time 7149
Process 28 | Waiting Time 7149 | Burst Time 270 | Arrival Time 2 | Turn Around Time 7419
Process 29 | Waiting Time 7419 | Burst Time 266 | Arrival Time 2 | Turn Around Time 7685
Process 30 | Waiting Time 7685 | Burst Time 231 | Arrival Time 2 | Turn Around Time 7916
Process 31 | Waiting Time 7916 | Burst Time 220 | Arrival Time 2 | Turn Around Time 8136
Process 32 | Waiting Time 8136 | Burst Time 280 | Arrival Time 2 | Turn Around Time 8416
Process 33 | Waiting Time 8416 | Burst Time 338 | Arrival Time 2 | Turn Around Time 8754
Process 34 | Waiting Time 8754 | Burst Time 281 | Arrival Time 2 | Turn Around Time 9035
Process 35 | Waiting Time 9034 | Burst Time 230 | Arrival Time 3 | Turn Around Time 9264
Process 36 | Waiting Time 9264 | Burst Time 265 | Arrival Time 3 | Turn Around Time 9529
Process 37 | Waiting Time 9529 | Burst Time 270 | Arrival Time 3 | Turn Around Time 9799
Process 38 | Waiting Time 9799 | Burst Time 293 | Arrival Time 3 | Turn Around Time 10092
Process 39 | Waiting Time 10092 | Burst Time 161 | Arrival Time 3 | Turn Around Time 10253
Process 40 | Waiting Time 10253 | Burst Time 287 | Arrival Time 3 | Turn Around Time 10540
Process 41 | Waiting Time 10540 | Burst Time 215 | Arrival Time 3 | Turn Around Time 10755
Process 42 | Waiting Time 10755 | Burst Time 208 | Arrival Time 3 | Turn Around Time 10963
Process 43 | Waiting Time 10963 | Burst Time 203 | Arrival Time 3 | Turn Around Time 11166
Process 44 | Waiting Time 11166 | Burst Time 265 | Arrival Time 3 | Turn Around Time 11431
Process 45 | Waiting Time 11431 | Burst Time 301 | Arrival Time 3 | Turn Around Time 11732
Process 46 | Waiting Time 11732 | Burst Time 300 | Arrival Time 3 | Turn Around Time 12032
Process 47 | Waiting Time 12032 | Burst Time 208 | Arrival Time 3 | Turn Around Time 12240
Process 48 | Waiting Time 12239 | Burst Time 265 | Arrival Time 4 | Turn Around Time 12504
Process 49 | Waiting Time 12504 | Burst Time 248 | Arrival Time 4 | Turn Around Time 12752
Process 50 | Waiting Time 12752 | Burst Time 188 | Arrival Time 4 | Turn Around Time 12940
Process 51 | Waiting Time 12940 | Burst Time 194 | Arrival Time 4 | Turn Around Time 13134
Process 52 | Waiting Time 13134 | Burst Time 243 | Arrival Time 4 | Turn Around Time 13377
Process 53 | Waiting Time 13377 | Burst Time 310 | Arrival Time 4 | Turn Around Time 13687
Process 54 | Waiting Time 13687 | Burst Time 291 | Arrival Time 4 | Turn Around Time 13978
Process 55 | Waiting Time 13978 | Burst Time 258 | Arrival Time 4 | Turn Around Time 14236
Process 56 | Waiting Time 14236 | Burst Time 265 | Arrival Time 4 | Turn Around Time 14501
Process 57 | Waiting Time 14501 | Burst Time 319 | Arrival Time 4 | Turn Around Time 14820
Process 58 | Waiting Time 14820 | Burst Time 223 | Arrival Time 4 | Turn Around Time 15043
Process 59 | Waiting Time 15043 | Burst Time 330 | Arrival Time 4 | Turn Around Time 15373
Process 60 | Waiting Time 15373 | Burst Time 252 | Arrival Time 4 | Turn Around Time 15625
