# seed=(1, 2) mean=(250, 20) standard_deviation=(50, 15) number_of_processes=1000
------------------------------------------------------------
Average waiting time : 125764.349
Average turn around time : 126015.815
------------------------------------------------------------
Process 0 | Waiting Time 0 | Burst Time 255 | Arrival Time 0 | Turn Around Time 255
Process 1 | Waiting Time 255 | Burst Time 220 | Arrival Time 0 | Turn Around Time 475
Process 2 | Waiting Time 475 | Burst Time 372 | Arrival Time 0 | Turn Around Time 847
Process 3 | Waiting Time 847 | Burst Time 225 | Arrival Time 0 | Turn Around Time 1072
Process 4 | Waiting Time 1072 | Burst Time 227 | Arrival Time 0 | Turn Around Time 1299
Process 5 | Waiting Time 1299 | Burst Time 280 | Arrival Time 0 | Turn Around Time 1579
Process 6 | Waiting Time 1579 | Burst Time 323 | Arrival Time 0 | Turn Around Time 1902
Process 7 | Waiting Time 1902 | Burst Time 302 | Arrival Time 0 | Turn Around Time 2204
Process 8 | Waiting Time 2204 | Burst Time 171 | Arrival Time 0 | Turn Around Time 2375
Process 9 | Waiting Time 2375 | Burst Time 323 | Arrival Time 0 | Turn Around Time 2698
Process 10 | Waiting Time 2698 | Burst Time 328 | Arrival Time 0 | Turn Around Time 3026
Process 11 | Waiting Time 3026 | Burst Time 190 | Arrival Time 0 | Turn Around Time 3216
Process 12 | Waiting Time 3216 | Burst Time 322 | Arrival Time 0 | Turn Around Time 3538
Process 13 | Waiting Time 3538 | Burst Time 271 | Arrival Time 0 | Turn Around Time 3809
Process 14 | Waiting Time 3809 | Burst Time 228 | Arrival Time 0 | Turn Around Time 4037
Process 15 | Waiting Time 4037 | Burst Time 279 | Arrival Time 0 | Turn Around Time 4316
Process 16 | Waiting Time 4316 | Burst Time 252 | Arrival Time 0 | Turn Around Time 4568
Process 17 | Waiting Time 4568 | Burst Time 233 | Arrival Time 0 | Turn Around Time 4801
Process 18 | Waiting Time 4801 | Burst Time 289 | Arrival Time 0 | Turn Around Time 5090
Process 19 | Waiting Time 5090 | Burst Time 248 | Arrival Time 0 | Turn Around Time 5338
Process 20 | Waiting Time 5338 | Burst Time 274 | Arrival Time 0 | Turn Around Time 5612
Process 21 | Waiting Time 5612 | Burst Time 287 | Arrival Time 0 | Turn Around Time 5899
Process 22 | Waiting Time 5899 | Burst Time 179 | Arrival Time 0 | Turn Around Time 6078
Process 23 | Waiting Time 6077 | Burst Time 211 | Arrival Time 1 | Turn Around Time 6288
Process 24 | Waiting Time 6288 | Burst Time 236 | Arrival Time 1 | Turn Around Time 6524
Process 25 | Waiting Time 6524 | Burst Time 325 | Arrival Time 1 | Turn Around Time 6849
Process 26 | Waiting Time 6849 | Burst Time 240 | Arrival Time 1 | Turn Around Time 7089
Process 27 | Waiting Time 7089 | Burst Time 224 | Arrival Time 1 | Turn Around Time 7313
Process 28 | Waiting Time 7313 | Burst Time 235 | Arrival Time 1 | Turn Around Time 7548
Process 29 | Waiting Time 7548 | Burst Time 278 | Arrival Time 1 | Turn Around Time 7826
Process 30 | Waiting Time 7826 | Burst Time 282 | Arrival Time 1 | Turn Around Time 8108
Process 31 | Waiting Time 8108 | Burst Time 213 | Arrival Time 1 | Turn Around Time 8321
Process 32 | Waiting Time 8321 | Burst Time 206 | Arrival Time 1 | Turn Around Time 8527
Process 33 | Waiting Time 8527 | Burst Time 257 | Arrival Time 1 | Turn Around Time 8784
Process 34 | Waiting Time 8784 | Burst Time 296 | Arrival Time 1 | Turn Around Time 9080
Process 35 | Waiting Time 9080 | Burst Time 199 | Arrival Time 1 | Turn Around Time 9279
Process 36 | Waiting Time 9279 | Burst Time 255 | Arrival Time 1 | Turn Around Time 9534
Process 37 | Waiting Time 9534 | Burst Time 180 | Arrival Time 1 | Turn Around Time 9714
Process 38 | Waiting Time 9714 | Burst Time 311 | Arrival Time 1 | Turn Around Time 10025
Process 39 | Waiting Time 10025 | Burst Time 335 | Arrival Time 1 | Turn Around Time 10360
Process 40 | Waiting Time 10360 | Burst Time 283 | Arrival Time 1 | Turn Around Time 10643
Process 41 | Waiting Time 10643 | Burst Time 152 | Arrival Time 1 | Turn Around Time 10795
Process 42 | Waiting Time 10795 | Burst Time 246 | Arrival Time 1 | Turn Around Time 11041
Process 43 | Waiting Time 11041 | Burst Time 297 | Arrival Time 1 | Turn Around Time 11338
Process 44 | Waiting Time 11338 | Burst Time 282 | Arrival Time 1 | Turn Around Time 11620
Process 45 | Waiting Time 11620 | Burst Time 193 | Arrival Time 1 | Turn Around Time 11813
Process 46 | Waiting Time 11813 | Burst Time 243 | Arrival Time 1 | Turn Around Time 12056
Process 47 | Waiting Time 12055 | Burst Time 203 | Arrival Time 2 | Turn Around Time 12258
Process 48 | Waiting Time 12258 | Burst Time 270 | Arrival Time 2 | Turn Around Time 12528
Process 49 | Waiting Time 12528 | Burst Time 276 | Arrival Time 2 | Turn Around Time 12804
Process 50 | Waiting Time 12804 | Burst Time 345 | Arrival Time 2 | Turn Around Time 13149
Process 51 | Waiting Time 13149 | Burst Time 229 | Arrival Time 2 | Turn Around Time 13378
Process 52 | Waiting Time 13378 | Burst Time 228 | Arrival Time 2 | Turn Around Time 13606
Process 53 | Waiting Time 13606 | Burst Time 194 | Arrival Time 2 | Turn Around Time 13800
Process 54 | Waiting Time 13800 | Burst Time 270 | Arrival Time 2 | Turn Around Time 14070
Process 55 | Waiting Time 14070 | Burst Time 266 | Arrival Time 2 | Turn Around Time 14336
Process 56 | Waiting Time 14336 | Burst Time 231 | Arrival Time 2 | Turn Around Time 14567
Process 57 | Waiting Time 14567 | Burst Time 220 | Arrival Time 2 | Turn Around Time 14787
Process 58 | Waiting Time 14787 | Burst Time 280 | Arrival Time 2 | Turn Around Time 15067
Process 59 | Waiting Time 15067 | Burst Time 338 | Arrival Time 2 | Turn Around Time 15405
Process 60 | Waiting Time 15405 | Burst Time 281 | Arrival Time 2 | Turn Around Time 15686
